지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
642,문화,2019-12-25,3,0,.6
642,문화,2019-12-26,3,1.5,1.3
642,문화,2019-12-27,.7,0,1.3
642,문화,2019-12-28,.7,0,.5
642,문화,2019-12-29,2.4,9,.5
642,문화,2019-12-30,4.5,.5,1.1
642,문화,2019-12-31,-4.2,0,2.2
643,세천,2017-01-01,1.5,0,.4
643,세천,2017-01-02,3.2,0,.8
643,세천,2017-01-03,.5,0,.6
643,세천,2017-01-04,1.6,0,.4
643,세천,2017-01-05,3.4,0,1.1
643,세천,2017-01-06,4.3,0,1.1
643,세천,2017-01-07,2.3,0,.6
643,세천,2017-01-08,8.1,0,1.1
643,세천,2017-01-09,2.9,0,1.6
643,세천,2017-01-10,-1.6,0,1.2
643,세천,2017-01-11,-4.6,0,1.1
643,세천,2017-01-12,-2.2,0,.9
643,세천,2017-01-13,-4.8,.5,1
643,세천,2017-01-14,-6.7,0,2
643,세천,2017-01-15,-8.2,0,.7
643,세천,2017-01-16,-6.8,0,.3
643,세천,2017-01-17,-5.1,0,.3
643,세천,2017-01-18,-2.1,0,.2
643,세천,2017-01-19,-2.2,0,.5
643,세천,2017-01-20,-3.2,2.5,1
643,세천,2017-01-21,-4.2,.5,.8
643,세천,2017-01-22,-5.6,0,1.8
643,세천,2017-01-23,-8.1,0,1
643,세천,2017-01-24,-7.7,0,.5
643,세천,2017-01-25,-7.1,0,.6
643,세천,2017-01-26,-3.6,0,.5
643,세천,2017-01-27,-.2,1,1.6
643,세천,2017-01-28,-2.2,0,.5
643,세천,2017-01-29,2.1,4.5,.7
643,세천,2017-01-30,-3.5,1.5,1.4
643,세천,2017-01-31,-6.1,0,.4
643,세천,2017-02-01,-3.6,0,1
643,세천,2017-02-02,-3.9,0,.7
643,세천,2017-02-03,-.7,0,.5
643,세천,2017-02-04,.8,0,.4
643,세천,2017-02-05,1.9,1,.8
643,세천,2017-02-06,-1,0,1.5
643,세천,2017-02-07,-2.5,0,.4
643,세천,2017-02-08,-1.4,0,1
643,세천,2017-02-09,-3.6,0,2
643,세천,2017-02-10,-5.3,0,1.9
643,세천,2017-02-11,-3.8,0,1.4
643,세천,2017-02-12,-2,0,1
643,세천,2017-02-13,-1.4,.5,.6
643,세천,2017-02-14,-.4,0,.7
643,세천,2017-02-15,-.3,0,.4
643,세천,2017-02-16,5.4,3,.8
643,세천,2017-02-17,3.3,3.5,2
643,세천,2017-02-18,-2.4,0,1.3
643,세천,2017-02-19,1.6,2,.9
643,세천,2017-02-20,.4,17,2.1
643,세천,2017-02-21,-.9,0,.6
643,세천,2017-02-22,3.1,13,1.2
643,세천,2017-02-23,.6,0,2
643,세천,2017-02-24,-.5,0,1.1
643,세천,2017-02-25,1.7,0,1
643,세천,2017-02-26,2.7,0,.7
643,세천,2017-02-27,2.1,0,.6
643,세천,2017-02-28,3.3,0,.6
643,세천,2017-03-01,5.3,1,.8
643,세천,2017-03-02,2.6,2,1.7
643,세천,2017-03-03,2.2,0,.7
643,세천,2017-03-04,4.3,0,.7
643,세천,2017-03-05,5.6,0,.9
643,세천,2017-03-06,1.7,0,2.2
643,세천,2017-03-07,-.4,1,1.7
643,세천,2017-03-08,1,0,1.5
643,세천,2017-03-09,3.9,0,2.2
643,세천,2017-03-10,3.7,0,1
643,세천,2017-03-11,5.2,0,.6
643,세천,2017-03-12,7.1,0,.7
643,세천,2017-03-13,6.4,0,.9
643,세천,2017-03-14,4,0,1.2
643,세천,2017-03-15,3.9,0,.6
643,세천,2017-03-16,4.6,0,1
643,세천,2017-03-17,5.4,0,.6
643,세천,2017-03-18,7.2,0,.8
643,세천,2017-03-19,7.5,0,.6
643,세천,2017-03-20,7.4,0,.8
643,세천,2017-03-21,6.9,.5,1.4
643,세천,2017-03-22,6.4,0,.8
643,세천,2017-03-23,7.6,0,.8
643,세천,2017-03-24,8.1,0,.9
643,세천,2017-03-25,6.6,3.5,1.2
643,세천,2017-03-26,5.8,.5,.8
643,세천,2017-03-27,4.6,1,.8
643,세천,2017-03-28,7.2,.5,1
643,세천,2017-03-29,8.4,1,1
643,세천,2017-03-30,9.5,0,.7
643,세천,2017-03-31,9.4,7.5,1.1
643,세천,2017-04-01,7.4,2,.8
643,세천,2017-04-02,7.8,0,1.1
643,세천,2017-04-03,10.1,0,1.3
643,세천,2017-04-04,12.5,0,.8
643,세천,2017-04-05,11.9,11,.9
643,세천,2017-04-06,13.3,12,1.2
643,세천,2017-04-07,15.6,0,.9
643,세천,2017-04-08,15,0,.9
643,세천,2017-04-09,13.5,0,1.6
643,세천,2017-04-10,14.4,0,2.1
643,세천,2017-04-11,11.8,12,1.4
643,세천,2017-04-12,11.3,0,1.8
643,세천,2017-04-13,12.3,0,1.7
643,세천,2017-04-14,14.3,0,1.8
643,세천,2017-04-15,16.4,0,1.2
643,세천,2017-04-16,17.1,0,.7
643,세천,2017-04-17,12.3,25,.6
643,세천,2017-04-18,13.7,1,1.6
643,세천,2017-04-19,12.2,0,1.8
643,세천,2017-04-20,9.6,2,.5
643,세천,2017-04-21,11.4,0,.8
643,세천,2017-04-22,12.6,0,.8
643,세천,2017-04-23,13.4,0,1.1
643,세천,2017-04-24,13.3,0,1.2
643,세천,2017-04-25,15.8,0,1.1
643,세천,2017-04-26,14.1,.5,1.4
643,세천,2017-04-27,12.1,0,1.6
643,세천,2017-04-28,14.3,0,2
643,세천,2017-04-29,15.7,0,1.4
643,세천,2017-04-30,18.8,0,1.6
643,세천,2017-05-01,18.4,0,1
643,세천,2017-05-02,17.9,0,1
643,세천,2017-05-03,18.5,0,.8
643,세천,2017-05-04,19.4,0,.7
643,세천,2017-05-05,19.9,1,1.1
643,세천,2017-05-06,15.5,0,1.8
643,세천,2017-05-07,16,0,1.6
643,세천,2017-05-08,15.8,0,.9
643,세천,2017-05-09,14.3,6,1.2
643,세천,2017-05-10,14.6,2,1.1
643,세천,2017-05-11,17.1,4,.9
643,세천,2017-05-12,17.7,0,.5
643,세천,2017-05-13,17.4,0,1.4
643,세천,2017-05-14,15.8,0,1.7
643,세천,2017-05-15,16.2,0,1.9
643,세천,2017-05-16,15.3,0,.9
643,세천,2017-05-17,16.6,0,.7
643,세천,2017-05-18,18.3,0,.8
643,세천,2017-05-19,19.3,0,1.1
643,세천,2017-05-20,18.6,0,.9
643,세천,2017-05-21,18.9,0,.8
643,세천,2017-05-22,19.4,0,.8
643,세천,2017-05-23,19,0,.6
643,세천,2017-05-24,18.8,5,.6
643,세천,2017-05-25,18.8,0,1.7
643,세천,2017-05-26,14.8,0,1.3
643,세천,2017-05-27,16.8,0,.9
643,세천,2017-05-28,19.9,0,1.5
643,세천,2017-05-29,22.6,0,1.4
643,세천,2017-05-30,21.1,0,.8
643,세천,2017-05-31,19.3,6,.6
643,세천,2017-06-01,21,0,1.4
643,세천,2017-06-02,18,0,1
643,세천,2017-06-03,19.1,0,1.4
643,세천,2017-06-04,18.2,0,.8
643,세천,2017-06-05,20.5,0,1
643,세천,2017-06-06,17.5,8.5,1.5
643,세천,2017-06-07,,2.5,
643,세천,2017-06-08,,0,
643,세천,2017-06-09,21.2,0,1.5
643,세천,2017-06-10,21.6,0,1.5
643,세천,2017-06-11,21.7,0,1.2
643,세천,2017-06-12,20.6,0,1.2
643,세천,2017-06-13,20.2,0,1.4
643,세천,2017-06-14,20.3,0,1.1
643,세천,2017-06-15,21.4,0,1.3
643,세천,2017-06-16,23,0,1
643,세천,2017-06-17,22.4,0,1
643,세천,2017-06-18,23.2,0,.9
643,세천,2017-06-19,23.9,0,.9
643,세천,2017-06-20,23.2,0,.7
643,세천,2017-06-21,23.7,0,1.3
643,세천,2017-06-22,23.3,0,.9
643,세천,2017-06-23,25.9,0,1
643,세천,2017-06-24,22.7,3.5,.7
643,세천,2017-06-25,23.6,0,1
643,세천,2017-06-26,22.3,3,1
643,세천,2017-06-27,23.2,32,1
643,세천,2017-06-28,24.5,1,1
643,세천,2017-06-29,24.2,0,.6
643,세천,2017-06-30,25.5,0,.8
643,세천,2017-07-01,22.8,20.5,.5
643,세천,2017-07-02,24.3,28.5,.5
643,세천,2017-07-03,24.8,64,1.3
643,세천,2017-07-04,25.4,24.5,.9
643,세천,2017-07-05,25.9,0,.7
643,세천,2017-07-06,24.8,3.5,.7
643,세천,2017-07-07,25.8,1,.7
643,세천,2017-07-08,25.2,45,.6
643,세천,2017-07-09,26.1,40,.8
643,세천,2017-07-10,25.8,12,.8
643,세천,2017-07-11,26.7,16.5,1.5
643,세천,2017-07-12,26.3,0,.7
643,세천,2017-07-13,25.6,0,.6
643,세천,2017-07-14,25.6,13,.8
643,세천,2017-07-15,24.3,21.5,.8
643,세천,2017-07-16,26.2,0,1
643,세천,2017-07-17,24.6,4.5,.6
643,세천,2017-07-18,24.8,9.5,.6
643,세천,2017-07-19,26.5,0,.7
643,세천,2017-07-20,27.5,0,.6
643,세천,2017-07-21,28.3,0,.8
643,세천,2017-07-22,28.4,0,.7
643,세천,2017-07-23,26.5,1,.5
643,세천,2017-07-24,27.6,.5,.7
643,세천,2017-07-25,27.2,17,1.1
643,세천,2017-07-26,26,0,1.6
643,세천,2017-07-27,25.7,0,1
643,세천,2017-07-28,26.9,.5,.7
643,세천,2017-07-29,25.6,.5,1.3
643,세천,2017-07-30,25.9,14,1.1
643,세천,2017-07-31,23.7,35.5,.6
643,세천,2017-08-01,25.8,5.5,.7
643,세천,2017-08-02,27.6,0,.8
643,세천,2017-08-03,26.6,0,1.2
643,세천,2017-08-04,27.6,0,1
643,세천,2017-08-05,29.4,0,.8
643,세천,2017-08-06,29.3,1,1
643,세천,2017-08-07,27.2,0,.8
643,세천,2017-08-08,26.1,0,.6
643,세천,2017-08-09,24,13,.7
643,세천,2017-08-10,25.4,25.5,.6
643,세천,2017-08-11,25.2,.5,.7
643,세천,2017-08-12,25.5,0,.8
643,세천,2017-08-13,23.6,.5,1.5
643,세천,2017-08-14,22.1,70.5,1.9
643,세천,2017-08-15,22.7,32.5,1.6
643,세천,2017-08-16,23.9,40.5,1
643,세천,2017-08-17,23.9,9,.8
643,세천,2017-08-18,24.7,0,.5
643,세천,2017-08-19,24.4,1.5,.8
643,세천,2017-08-20,25.3,5.5,1.5
643,세천,2017-08-21,24,32,.7
643,세천,2017-08-22,26.3,1,.6
643,세천,2017-08-23,27.5,1,1
643,세천,2017-08-24,27.1,44.5,1.4
643,세천,2017-08-25,24.7,0,.7
643,세천,2017-08-26,21.5,0,.7
643,세천,2017-08-27,21.7,0,.6
643,세천,2017-08-28,23.9,30,.6
643,세천,2017-08-29,20.1,0,1.3
643,세천,2017-08-30,16.9,.5,.5
643,세천,2017-08-31,19.8,0,.8
643,세천,2017-09-01,19.8,0,.7
643,세천,2017-09-02,19.2,0,.8
643,세천,2017-09-03,20,0,.7
643,세천,2017-09-04,20.3,0,.8
643,세천,2017-09-05,20.2,.5,.7
643,세천,2017-09-06,20.1,1.5,.5
643,세천,2017-09-07,20.7,0,.6
643,세천,2017-09-08,21.3,0,.5
643,세천,2017-09-09,20.4,0,.5
643,세천,2017-09-10,20.9,0,.5
643,세천,2017-09-11,19.7,62,.8
643,세천,2017-09-12,20.5,0,.6
643,세천,2017-09-13,17.9,0,.5
643,세천,2017-09-14,18.5,0,.7
643,세천,2017-09-15,20.4,0,1.9
643,세천,2017-09-16,20.7,0,1.9
643,세천,2017-09-17,19.9,0,1
643,세천,2017-09-18,19.5,0,.8
643,세천,2017-09-19,22,0,1.1
643,세천,2017-09-20,17.9,1.5,1
643,세천,2017-09-21,16.1,0,.5
643,세천,2017-09-22,18,0,.6
643,세천,2017-09-23,18.8,0,.5
643,세천,2017-09-24,20.8,0,.6
643,세천,2017-09-25,20.9,0,.6
643,세천,2017-09-26,21.8,0,.8
643,세천,2017-09-27,17.7,34.5,.7
643,세천,2017-09-28,18.7,0,1.1
643,세천,2017-09-29,13.4,0,.5
643,세천,2017-09-30,14.8,0,.4
643,세천,2017-10-01,15.1,9,.8
643,세천,2017-10-02,18.1,3,.6
643,세천,2017-10-03,16.7,0,.6
643,세천,2017-10-04,16.4,0,.7
643,세천,2017-10-05,16.9,0,1.3
643,세천,2017-10-06,15.5,1.5,.7
643,세천,2017-10-07,18.5,1,.6
643,세천,2017-10-08,19.3,0,.6
643,세천,2017-10-09,19.8,0,.5
643,세천,2017-10-10,20.7,0,.4
643,세천,2017-10-11,16.7,10.5,.8
643,세천,2017-10-12,11.7,2.5,.4
643,세천,2017-10-13,10.2,0,.6
643,세천,2017-10-14,11.9,0,.7
643,세천,2017-10-15,13.8,0,.9
643,세천,2017-10-16,14.2,0,.7
643,세천,2017-10-17,13.4,0,.6
643,세천,2017-10-18,15.5,0,1.4
643,세천,2017-10-19,15.1,0,.9
643,세천,2017-10-20,13.6,0,.6
643,세천,2017-10-21,13,0,.6
643,세천,2017-10-22,13.9,0,.8
643,세천,2017-10-23,10.7,0,.7
643,세천,2017-10-24,10.2,0,.5
643,세천,2017-10-25,9.8,0,.4
643,세천,2017-10-26,11,0,.4
643,세천,2017-10-27,12.6,0,.4
643,세천,2017-10-28,13.8,0,.6
643,세천,2017-10-29,10.3,0,1.2
643,세천,2017-10-30,4.7,0,.7
643,세천,2017-10-31,6.3,0,.4
643,세천,2017-11-01,11.3,0,.7
643,세천,2017-11-02,12,0,.4
643,세천,2017-11-03,10.6,0,.9
643,세천,2017-11-04,6.3,0,.8
643,세천,2017-11-05,5.1,0,.4
643,세천,2017-11-06,6.9,0,.4
643,세천,2017-11-07,12,0,.5
643,세천,2017-11-08,13.6,0,1
643,세천,2017-11-09,6.3,0,.4
643,세천,2017-11-10,9.1,2.5,1.4
643,세천,2017-11-11,4.1,0,1
643,세천,2017-11-12,3,0,.4
643,세천,2017-11-13,5.9,0,.4
643,세천,2017-11-14,7.3,0,1
643,세천,2017-11-15,4.6,0,1.3
643,세천,2017-11-16,.7,0,.6
643,세천,2017-11-17,3.7,0,.6
643,세천,2017-11-18,.1,0,2.1
643,세천,2017-11-19,-1.3,0,.8
643,세천,2017-11-20,2.6,0,.9
643,세천,2017-11-21,.2,0,.4
643,세천,2017-11-22,4.4,0,.8
643,세천,2017-11-23,-.4,1,.7
643,세천,2017-11-24,.1,6.5,.5
643,세천,2017-11-25,5.1,0,1.1
643,세천,2017-11-26,5.8,2.5,1.1
643,세천,2017-11-27,1.4,0,.4
643,세천,2017-11-28,4.2,0,.5
643,세천,2017-11-29,6,0,1.3
643,세천,2017-11-30,-1.2,0,1.1
643,세천,2017-12-01,-2.5,0,.7
643,세천,2017-12-02,-.4,0,.3
643,세천,2017-12-03,3.9,0,.4
643,세천,2017-12-04,1.7,0,1.7
643,세천,2017-12-05,-4.1,0,1.2
643,세천,2017-12-06,-.2,1,.5
643,세천,2017-12-07,2.5,2,.9
643,세천,2017-12-08,-2.1,0,1.3
643,세천,2017-12-09,.1,0,.4
643,세천,2017-12-10,3,2,1.2
643,세천,2017-12-11,-4.7,0,1.8
643,세천,2017-12-12,-8.2,0,.9
643,세천,2017-12-13,-7.7,0,.7
643,세천,2017-12-14,-6.5,0,.3
643,세천,2017-12-15,-2.4,0,.5
643,세천,2017-12-16,-2.6,0,1.9
643,세천,2017-12-17,-7.1,0,.7
643,세천,2017-12-18,-.5,0,.8
643,세천,2017-12-19,-3.4,0,1.2
643,세천,2017-12-20,-2.5,.5,.4
643,세천,2017-12-21,-2.1,0,.5
643,세천,2017-12-22,0,0,.5
643,세천,2017-12-23,1.9,0,.3
643,세천,2017-12-24,2.8,17,.8
643,세천,2017-12-25,-1,0,1.3
643,세천,2017-12-26,-1.5,.5,1.4
643,세천,2017-12-27,-6.6,0,.7
643,세천,2017-12-28,-2.8,0,.4
643,세천,2017-12-29,2.1,0,.6
643,세천,2017-12-30,2.4,.5,.5
643,세천,2017-12-31,.6,1.5,1.2
643,세천,2018-01-01,-2.6,0,.6
643,세천,2018-01-02,-2.1,0,.5
643,세천,2018-01-03,-3.7,0,.8
643,세천,2018-01-04,-3.6,0,.4
643,세천,2018-01-05,-1.9,0,.7
643,세천,2018-01-06,-3,0,.5
643,세천,2018-01-07,-1.8,0,.6
643,세천,2018-01-08,1.2,2,.9
643,세천,2018-01-09,-2.1,2,1.3
643,세천,2018-01-10,-5.7,1,1.1
643,세천,2018-01-11,-10.1,0,1
643,세천,2018-01-12,-9.8,0,.8
643,세천,2018-01-13,-3.5,0,.3
643,세천,2018-01-14,-1.2,0,.5
643,세천,2018-01-15,3.3,0,.7
643,세천,2018-01-16,2.7,3.5,.5
643,세천,2018-01-17,3.2,8,.5
643,세천,2018-01-18,2.5,0,.7
643,세천,2018-01-19,-1.9,0,.3
643,세천,2018-01-20,-1.2,0,.4
643,세천,2018-01-21,-.8,0,.4
643,세천,2018-01-22,2.4,1,1.1
643,세천,2018-01-23,-7.4,0,2.3
643,세천,2018-01-24,-12.4,0,1.8
643,세천,2018-01-25,-11.5,0,1.4
643,세천,2018-01-26,-12.6,0,1.4
643,세천,2018-01-27,-9.6,0,.4
643,세천,2018-01-28,-4.2,0,1.4
643,세천,2018-01-29,-8,0,1.2
643,세천,2018-01-30,-6.1,0,.8
643,세천,2018-01-31,-2.2,0,.6
643,세천,2018-02-01,-4.5,0,.6
643,세천,2018-02-02,-5.2,0,.5
643,세천,2018-02-03,-5.5,0,1.9
643,세천,2018-02-04,-8.1,0,1.3
643,세천,2018-02-05,-8.5,0,1.5
643,세천,2018-02-06,-9.3,0,1.3
643,세천,2018-02-07,-9.6,0,.5
643,세천,2018-02-08,-6.6,0,.5
643,세천,2018-02-09,.3,0,.7
643,세천,2018-02-10,-.1,0,1.4
643,세천,2018-02-11,-4.5,0,1.5
643,세천,2018-02-12,-5.6,1,1.3
643,세천,2018-02-13,-2.6,1,1.2
643,세천,2018-02-14,2.8,0,1.3
643,세천,2018-02-15,-.7,0,.8
643,세천,2018-02-16,-1,0,.7
643,세천,2018-02-17,-1.6,0,1.4
643,세천,2018-02-18,-1.6,0,.4
643,세천,2018-02-19,.3,0,.5
643,세천,2018-02-20,.6,0,.7
643,세천,2018-02-21,-1.9,0,.8
643,세천,2018-02-22,-1.7,0,.9
643,세천,2018-02-23,4.9,2,1.2
643,세천,2018-02-24,4.6,0,.9
643,세천,2018-02-25,2.5,0,.7
643,세천,2018-02-26,1.3,0,.6
643,세천,2018-02-27,3.9,0,.6
643,세천,2018-02-28,4.3,35,1.6
643,세천,2018-03-01,1.8,1.5,2
643,세천,2018-03-02,-.5,0,.8
643,세천,2018-03-03,6.2,0,.7
643,세천,2018-03-04,13.7,9,1
643,세천,2018-03-05,6,12,1.2
643,세천,2018-03-06,3.8,0,.7
643,세천,2018-03-07,5.2,3.5,1.7
643,세천,2018-03-08,2,11,.3
643,세천,2018-03-09,2.1,0,.5
643,세천,2018-03-10,3,0,1
643,세천,2018-03-11,6.7,0,.7
643,세천,2018-03-12,6.6,0,.7
643,세천,2018-03-13,10.7,0,1.1
643,세천,2018-03-14,13.9,0,.9
643,세천,2018-03-15,12.5,18.5,.7
643,세천,2018-03-16,5.4,1,1.5
643,세천,2018-03-17,6.1,0,1.2
643,세천,2018-03-18,6.6,5.5,.7
643,세천,2018-03-19,8.1,15,2.7
643,세천,2018-03-20,5.6,0,3
643,세천,2018-03-21,.6,14.5,.7
643,세천,2018-03-22,3.9,.5,1
643,세천,2018-03-23,4.7,0,.8
643,세천,2018-03-24,7.1,0,1.1
643,세천,2018-03-25,9.3,0,1
643,세천,2018-03-26,10.4,0,.9
643,세천,2018-03-27,12.4,0,1.2
643,세천,2018-03-28,13.4,0,1.3
643,세천,2018-03-29,14.2,0,.6
643,세천,2018-03-30,13.7,0,1.3
643,세천,2018-03-31,14,0,1.2
643,세천,2018-04-01,14.4,0,.9
643,세천,2018-04-02,16.7,0,1.1
643,세천,2018-04-03,17.6,0,1
643,세천,2018-04-04,12.1,16.5,1.2
643,세천,2018-04-05,7.7,18.5,1.7
643,세천,2018-04-06,7.3,19,1.9
643,세천,2018-04-07,4.9,0,2.5
643,세천,2018-04-08,7.5,0,2.1
643,세천,2018-04-09,10.2,0,1
643,세천,2018-04-10,15.7,.5,1.8
643,세천,2018-04-11,14.9,6.5,2.1
643,세천,2018-04-12,12.1,0,1.2
643,세천,2018-04-13,12.1,0,1.6
643,세천,2018-04-14,8.7,28.5,1.5
643,세천,2018-04-15,9.4,0,1.8
643,세천,2018-04-16,9.9,0,.9
643,세천,2018-04-17,12,0,.8
643,세천,2018-04-18,11.8,0,.9
643,세천,2018-04-19,13.1,0,1.1
643,세천,2018-04-20,17.6,0,.9
643,세천,2018-04-21,17.5,0,1.1
643,세천,2018-04-22,15,1,1.2
643,세천,2018-04-23,11,32.5,3.1
643,세천,2018-04-24,11.4,9,1.3
643,세천,2018-04-25,12,0,.7
643,세천,2018-04-26,13.5,0,.9
643,세천,2018-04-27,14.3,0,1
643,세천,2018-04-28,13.8,0,1.1
643,세천,2018-04-29,14.7,0,1
643,세천,2018-04-30,18.7,0,.8
643,세천,2018-05-01,19.5,.5,.7
643,세천,2018-05-02,16.9,10.5,1.6
643,세천,2018-05-03,11.8,0,2.4
643,세천,2018-05-04,14.1,0,2.2
643,세천,2018-05-05,16.3,0,1.1
643,세천,2018-05-06,15.1,15.5,.8
643,세천,2018-05-07,16.1,5.5,.8
643,세천,2018-05-08,15.8,0,2
643,세천,2018-05-09,13.6,0,1.1
643,세천,2018-05-10,15.2,0,1.1
643,세천,2018-05-11,15.8,0,.9
643,세천,2018-05-12,14.6,15.5,.5
643,세천,2018-05-13,16.9,2,1.1
643,세천,2018-05-14,18.5,0,.8
643,세천,2018-05-15,20.9,0,.6
643,세천,2018-05-16,24,0,.9
643,세천,2018-05-17,24.6,1,.7
643,세천,2018-05-18,19.9,3,1.2
643,세천,2018-05-19,16.3,1,1.7
643,세천,2018-05-20,15.9,0,2
643,세천,2018-05-21,16.2,0,1.6
643,세천,2018-05-22,17.6,6,.8
643,세천,2018-05-23,17.3,21,1.1
643,세천,2018-05-24,16.8,0,1.1
643,세천,2018-05-25,17.2,0,.5
643,세천,2018-05-26,19.5,0,.7
643,세천,2018-05-27,18.5,0,.5
643,세천,2018-05-28,21,0,.9
643,세천,2018-05-29,21.5,0,.8
643,세천,2018-05-30,21.7,0,1.2
643,세천,2018-05-31,18.8,0,1
643,세천,2018-06-01,21.1,0,.8
643,세천,2018-06-02,20.7,0,.7
643,세천,2018-06-03,21,0,.6
643,세천,2018-06-04,21.8,0,.8
643,세천,2018-06-05,21.6,0,.7
643,세천,2018-06-06,22.3,0,.7
643,세천,2018-06-07,22.8,0,.8
643,세천,2018-06-08,20.7,0,.8
643,세천,2018-06-09,21.2,.5,1.5
643,세천,2018-06-10,20.2,0,1.9
643,세천,2018-06-11,19.1,0,1
643,세천,2018-06-12,19.9,0,.8
643,세천,2018-06-13,21.1,0,.8
643,세천,2018-06-14,21.5,0,1.7
643,세천,2018-06-15,20,0,1.7
643,세천,2018-06-16,20.1,0,1.3
643,세천,2018-06-17,21.5,0,.7
643,세천,2018-06-18,24,0,.9
643,세천,2018-06-19,19.9,2.5,.5
643,세천,2018-06-20,22,0,.7
643,세천,2018-06-21,21.8,0,1
643,세천,2018-06-22,22.1,0,.6
643,세천,2018-06-23,22.9,0,1.3
643,세천,2018-06-24,25,0,1.1
